PLAYER,TM,POS,GP,GS,MIN,FG,FGA,X3P,X3PA,FT,FTA,OR,DR,TR,AST,STL,TO,Blk,PF,PTS
Jeremy Pargo,PHI,PG,14,0,210,24,63,7,17,14,21,1,16,17,28,1,13,0,14,69
Jeremy Tyler,GSW,PF,20,0,62,9,24,0,0,4,6,6,11,17,1,1,6,2,10,22
Jermaine O'Neal,PHO,C,54,4,997,172,359,0,0,95,113,79,205,284,41,19,71,76,121,439
Jerry Stackhouse,BKN,SF,37,0,543,66,172,30,89,20,23,5,28,33,35,7,24,4,31,182
Jerryd Bayless,MEM,PG,79,4,1733,253,605,71,197,102,122,20,151,171,258,58,119,18,166,679
Jimmer Fredette,SAC,PG,68,0,962,171,408,65,155,85,99,18,52,70,91,31,68,3,61,492
Jimmy Butler,CHI,SF,81,19,2090,234,499,40,103,185,231,134,191,325,115,76,62,31,97,693
Joakim Noah,CHI,C,66,64,2422,303,630,0,5,178,237,260,473,733,262,78,176,141,185,784
Jodie Meeks,LAL,SG,77,9,1634,204,525,122,338,86,95,37,129,166,66,57,51,5,102,616
Joe Johnson,BKN,SG,73,73,2676,450,1069,151,405,134,163,53,167,220,255,51,123,14,102,1185
Joel Anthony,MIA,C,62,4,575,36,71,0,0,17,28,46,72,118,14,14,20,39,50,89
Joel Freeland,POR,PF,50,1,472,58,140,0,0,18,27,39,78,117,12,13,19,11,67,134
Joel Przybilla,MIL,C,12,1,69,1,4,0,0,0,2,5,16,21,4,1,4,2,10,2
Johan Petro,ATL,C,32,9,383,53,122,1,4,12,13,37,90,127,17,11,25,10,51,119
John Henson,MIL,PF,63,9,829,162,336,0,3,56,105,117,181,298,31,19,47,43,83,380
John Jenkins,ATL,SG,62,2,934,138,303,56,141,65,76,18,80,98,60,12,43,10,37,397
John Lucas,TOR,PG,63,0,828,129,334,57,151,18,25,8,57,65,105,23,26,1,50,333
John Salmons,SAC,SG,75,71,2249,243,606,98,262,85,110,33,172,205,224,50,85,25,142,669
John Wall,WAS,PG,50,43,1642,340,760,12,45,251,316,35,165,200,377,67,159,39,119,943
Jon Leuer,CLE,PF,9,0,91,10,28,0,3,2,6,5,8,13,5,2,5,0,11,22
Jon Leuer,MEM,PF,18,0,92,14,23,0,0,4,7,7,16,23,3,4,3,0,10,32
Jonas Jerebko,DET,PF,50,2,916,144,321,26,85,70,90,69,119,188,43,38,45,9,92,384
Jonas Valanciunas,TOR,C,62,57,1475,205,372,0,1,144,181,120,251,371,46,16,93,75,189,554
Jordan Crawford,BOS,SG,26,2,553,87,203,23,71,42,51,11,59,70,63,11,44,2,43,239
Jordan Crawford,WAS,SG,43,12,1130,211,508,59,171,87,106,31,104,135,156,27,97,5,61,568
Jordan Hamilton,DEN,SF,41,1,407,85,203,27,73,13,26,33,63,96,24,15,20,8,24,210
Jordan Hill,LAL,C,29,1,458,77,155,0,2,40,61,82,84,166,13,8,26,19,55,194
Jose Calderon,DET,PG,29,29,914,128,242,51,98,25,28,7,65,72,189,33,54,2,42,332
Jose Calderon,TOR,PG,45,30,1272,187,398,79,184,47,52,14,92,106,333,28,75,6,58,500
Jose Juan Barea,MIN,PG,26,2,591,100,241,26,79,47,58,16,67,83,114,14,50,0,45,273
Josh Akognon,DAL,PG,3,0,9,2,4,1,2,0,0,0,1,1,1,0,0,0,3,5
Josh Childress,BKN,SF,14,0,100,6,21,1,3,1,2,6,9,15,5,2,0,2,3,14
Josh Harrellson,MIA,C,6,0,32,4,9,1,5,1,2,3,4,7,0,1,3,1,4,10
Josh Howard,MIN,SF,11,4,207,31,77,5,16,7,12,9,27,36,4,10,10,3,18,74
Josh McRoberts,CHA,PF,26,19,809,95,189,7,30,43,55,48,137,185,71,22,37,13,69,240
Josh McRoberts,ORL,PF,41,3,686,60,153,17,55,22,30,41,96,137,69,10,28,12,65,159
Josh Selby,MEM,PG,10,0,58,6,22,1,6,7,11,0,5,5,4,2,7,0,7,20
Josh Smith,ATL,SF,75,75,2650,542,1169,59,198,165,317,133,500,633,318,94,224,134,172,1308
Jrue Holiday,PHI,PG,78,78,2921,559,1290,94,250,180,237,89,242,331,623,123,295,32,170,1392
Julyan Stone,DEN,PG,4,0,27,2,2,0,0,3,4,2,1,3,2,1,2,0,4,7
Justin Dentmon,DAL,PG,2,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
